"cts","date","GPS (Lat.) [deg]","GPS (Long.) [deg]","GPS (Alt.) [m]","GPS (2D speed) [m/s]","GPS (3D speed) [m/s]","fix","precision"
"9141.864058823528","2019-11-25T11:18:05.089Z","23.0578377","72.4770295","51.88304306842385","2.069","2.07","3","111"
"9197.310117647057","2019-11-25T11:18:05.144Z","23.0578367","72.4770297","51.882043068423854","2.054","2.08","3","111"
"9252.756176470586","2019-11-25T11:18:05.199Z","23.0578358","72.4770297","51.91604306842385","2.032","2.06","3","111"
"9308.202235294115","2019-11-25T11:18:05.254Z","23.0578348","72.4770295","51.92504306842385","2.043","2.04","3","111"
"9363.648294117644","2019-11-25T11:18:05.309Z","23.0578333","72.4770299","51.82804306842385","2.083","2.05","3","111"
"9419.094352941172","2019-11-25T11:18:05.364Z","23.0578321","72.4770302","51.79004306842385","2.088","2.09","3","111"
"9474.540411764701","2019-11-25T11:18:05.419Z","23.0578312","72.4770303","51.78104306842385","2.016","2.09","3","111"
"9529.98647058823","2019-11-25T11:18:05.474Z","23.0578306","72.4770302","51.74704306842385","1.866","2.02","3","111"
"9585.432529411759","2019-11-25T11:18:05.529Z","23.0578293","72.4770304","51.736043068423854","1.946","1.87","3","111"
"9640.878588235288","2019-11-25T11:18:05.584Z","23.057828","72.4770306","51.71204306842385","2.051","1.95","3","111"
"9696.324647058816","2019-11-25T11:18:05.639Z","23.0578267","72.4770309","51.69004306842385","2.098","2.05","3","111"
"9751.770705882345","2019-11-25T11:18:05.694Z","23.0578255","72.477031","51.65304306842385","2.132","2.1","3","111"
"9807.216764705874","2019-11-25T11:18:05.749Z","23.0578244","72.4770313","51.672043068423854","2.157","2.13","3","111"
"9862.662823529403","2019-11-25T11:18:05.804Z","23.0578232","72.4770313","51.66904306842385","2.191","2.16","3","111"
"9918.108882352932","2019-11-25T11:18:05.859Z","23.0578217","72.4770315","51.672043068423854","2.317","2.19","3","111"
"9973.55494117646","2019-11-25T11:18:05.914Z","23.0578206","72.4770318","51.64204306842385","2.235","2.32","3","111"
"10029.001","2019-11-25T11:18:05.969Z","23.0578194","72.4770322","51.59804306842385","2.225","2.24","3","120"
"10084.044055555556","2019-11-25T11:18:06.027Z","23.0578184","72.4770321","51.58404306842385","2.189","2.23","3","120"
"10139.087111111112","2019-11-25T11:18:06.085Z","23.0578172","72.4770321","51.60204306842385","2.247","2.19","3","120"
"10194.130166666668","2019-11-25T11:18:06.143Z","23.0578164","72.4770321","51.617043068423854","2.131","2.25","3","120"
"10249.173222222224","2019-11-25T11:18:06.201Z","23.0578155","72.4770322","51.59404306842385","2.039","2.13","3","120"
"10304.21627777778","2019-11-25T11:18:06.259Z","23.0578144","72.4770323","51.60404306842385","2.084","2.04","3","120"
"10359.259333333335","2019-11-25T11:18:06.317Z","23.0578132","72.4770324","51.59504306842385","2.149","2.09","3","120"
"10414.302388888891","2019-11-25T11:18:06.375Z","23.0578122","72.4770325","51.59104306842385","2.102","2.15","3","120"
"10469.345444444447","2019-11-25T11:18:06.433Z","23.0578111","72.4770327","51.57604306842385","2.104","2.1","3","120"
"10524.388500000003","2019-11-25T11:18:06.491Z","23.0578099","72.4770329","51.58604306842385","2.129","2.11","3","120"
"10579.431555555559","2019-11-25T11:18:06.549Z","23.057809","72.477033","51.63404306842385","2.112","2.13","3","120"
"10634.474611111114","2019-11-25T11:18:06.607Z","23.057808","72.4770327","51.62404306842385","2.094","2.11","3","120"
"10689.51766666667","2019-11-25T11:18:06.665Z","23.0578067","72.477033","51.57204306842385","2.133","2.1","3","120"
"10744.560722222226","2019-11-25T11:18:06.723Z","23.0578055","72.4770332","51.51804306842385","2.104","2.13","3","120"
"10799.603777777782","2019-11-25T11:18:06.781Z","23.0578046","72.4770334","51.51604306842385","2.022","2.1","3","120"
"10854.646833333338","2019-11-25T11:18:06.839Z","23.0578033","72.4770337","51.47804306842385","2.062","2.02","3","120"
"10909.689888888894","2019-11-25T11:18:06.897Z","23.0578021","72.4770339","51.45004306842385","2.1","2.06","3","120"
"10964.73294444445","2019-11-25T11:18:06.955Z","23.0578008","72.477034","51.44304306842385","2.146","2.1","3","120"
"11019.776","2019-11-25T11:18:07.014Z","23.0577997","72.4770344","51.42104306842385","2.11","2.15","3","120"
"11074.16994736842","2019-11-25T11:18:07.069Z","23.0577984","72.4770348","51.39004306842385","2.171","2.11","3","120"
"11128.56389473684","2019-11-25T11:18:07.124Z","23.0577973","72.4770349","51.37704306842385","2.149","2.17","3","120"
"11182.957842105261","2019-11-25T11:18:07.179Z","23.0577962","72.4770353","51.39904306842385","2.141","2.15","3","120"
"11237.351789473681","2019-11-25T11:18:07.234Z","23.0577952","72.4770354","51.39504306842385","2.143","2.14","3","120"
